"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Sears, JP","676664","40.1","6.8","0.7","6.8","15.0","3.6","","","27.0",""
"Ober, Bailey","641927","35.9","3.2","","17.7","28.9","3.5","","","10.7",""
"Mize, Casey","663554","33.6","12.6","","16.3","","","24.2","","","13.3"
"Anderson, Tyler","542881","38.1","3.6","20.5","3.5","34.0","0.3","","","",""
"Lorenzen, Michael","547179","22.0","18.0","10.8","11.9","17.3","11.3","","","8.6",""
"Rasmussen, Drew","656876","35.2","22.9","31.4","0.2","1.2","4.3","","","4.7",""
"Martin, Davis","663436","32.7","10.5","1.8","21.5","24.4","4.8","","","4.2",""
"Senzatela, Antonio","622608","56.9","0.5","1.8","18.0","7.9","14.8","","","",""
"Bradley, Taj","671737","38.6","8.9","22.6","","","14.7","15.1","","",""
"Cabrera, Edward","665795","13.0","20.4","","17.3","25.8","23.6","","","",""
"Buehler, Walker","621111","25.3","16.4","16.9","14.8","6.9","12.9","","","6.9",""
"Imanaga, Shota","684007","48.7","1.2","","0.6","","1.6","31.4","","16.5",""
"Quintana, Jose","500779","11.7","43.8","","","22.2","13.7","","","","8.6"
"May, Dustin","669160","16.6","33.5","9.7","","0.8","","","","39.3",""
"Cameron, Noah","702070","26.4","","21.6","14.1","18.6","19.3","","","",""
"Gilbert, Logan","669302","36.7","1.0","","35.3","","7.5","19.6","","",""
"Vásquez, Randy","681190","21.0","19.0","24.9","2.1","6.9","12.8","","","13.1",""
"Lord, Brad","695418","48.5","18.1","","20.2","13.1","","","","0.1",""
"Strider, Spencer","675911","51.2","","","35.3","4.6","8.9","","","",""
"Kirby, George","669923","28.8","26.8","","","2.1","11.3","2.8","","28.2",""
"Márquez, Germán","608566","35.3","19.8","","10.6","2.4","31.9","","","",""
"Heaney, Andrew","571760","43.7","11.2","","16.6","17.3","11.1","","","",""
"Cecconi, Slade","677944","43.6","11.0","3.1","18.2","7.5","16.5","","","0.2",""
"Walker, Taijuan","592836","9.5","20.2","30.1","11.3","","6.5","22.5","","",""
"Sale, Chris","519242","41.7","3.5","","47.3","7.6","","","","",""
"Patrick, Chad","694477","22.2","23.0","41.2","5.3","6.7","","","","","1.6"
"Quantrill, Cal","615698","15.0","22.1","21.6","8.4","0.3","11.8","20.9","","",""
"Taillon, Jameson","592791","38.0","7.3","14.6","","11.2","13.3","","","15.6",""
"Povich, Cade","700249","37.2","12.3","1.7","1.7","15.0","21.8","","","10.3",""
"Holmes, Grant","656550","32.6","0.1","15.1","35.7","1.2","15.2","","","",""
"Falter, Bailey","663559","50.8","9.8","","18.1","","12.6","7.7","","","0.9"
"Eovaldi, Nathan","543135","22.5","5.1","20.1","1.2","","19.7","31.4","","",""
"Senga, Kodai","673540","31.4","6.0","20.5","4.1","","1.7","","","7.8",""
"Houser, Adrian","605288","11.7","45.9","","15.4","15.3","11.7","","","",""
"Woods Richardson, Simeon","680573","45.6","","","27.2","4.3","13.0","10.0","","",""
"Kochanowicz, Jack","686799","18.7","47.0","","14.7","14.0","","","","5.5",""
"Roupp, Landen","694738","0.7","39.9","6.7","","17.0","35.7","","","",""
"Wentz, Joey","666214","44.1","","9.2","25.5","3.5","17.8","","","",""
"Bubic, Kris","663460","38.1","6.5","","13.5","21.1","","","","20.8",""
"Cannon, Jonathan","686563","18.1","21.9","23.3","0.3","21.4","","","","15.0",""
"Horton, Cade","690990","50.3","5.5","","0.1","12.8","9.7","","","21.6",""
"Dollander, Chase","801403","48.8","9.8","","12.3","7.8","21.3","","","",""
"Kershaw, Clayton","477132","34.6","0.5","","41.4","","17.9","5.5","","",""
"Gusto, Ryan","687473","43.7","10.6","11.0","","9.5","14.9","","","10.2",""
"Brown, Ben","676962","55.6","","","","4.5","39.9","","","",""
"Greene, Hunter","668881","54.2","","","35.0","","0.1","10.8","","",""
"Civale, Aaron","650644","15.5","16.8","35.0","7.7","","18.9","5.8","","0.3",""
"Kolek, Stephen","663568","25.6","24.1","15.2","16.5","11.6","0.1","","","6.9",""
"Lauer, Eric","641778","46.6","0.1","20.9","10.1","8.0","14.4","","","",""
"Pérez, Eury","691587","51.3","1.0","1.0","21.9","7.8","9.2","","","7.8",""
"Lopez, Jacob","682052","35.2","6.2","14.6","30.6","13.4","","","","",""
"Mlodzinski, Carmen","669387","36.2","15.1","0.1","14.1","","8.9","15.2","","10.5",""
"Vasil, Mike","678024","14.0","39.9","5.5","","12.2","12.3","","","16.1",""
"Cantillo, Joey","676282","42.0","","","8.7","30.5","18.8","","","",""
"Rogers, Trevor","669432","40.9","14.9","11.7","","25.0","","","","7.5",""
"Junk, Janson","676083","37.7","","","27.6","7.8","11.7","","","15.2",""
"Alexander, Tyler","641302","26.1","18.4","17.1","","16.0","","","","22.4",""
"Ginn, J.T.","669372","","51.5","13.3","25.8","9.4","","","","",""
"Schwellenbach, Spencer","680885","35.3","10.0","11.3","18.1","","11.4","13.9","","",""
"Nola, Aaron","605400","30.3","17.8","7.3","","15.4","29.1","","","",""
"Newcomb, Sean","656794","29.7","21.9","13.7","","6.9","5.4","","","","22.4"
"Miller, Bryce","682243","41.4","16.5","0.7","7.7","","10.8","18.7","","4.3",""
"Burrows, Mike","681347","39.2","5.7","","19.5","23.7","11.9","","","",""
"Soroka, Michael","647336","45.4","9.7","","","10.1","","","","","34.8"
"Ortiz, Luis","682847","29.4","19.5","12.3","25.9","12.9","","","","",""
"Glasnow, Tyler","607192","36.3","19.7","","22.1","","21.9","","","",""
"Montero, Keider","672456","30.8","19.9","","21.9","12.8","14.5","","","0.1",""
"McGreevy, Michael","700241","25.5","22.2","9.8","0.2","10.0","12.1","","","20.2",""
"Gordon, Colton","676467","41.0","10.8","","2.8","7.9","10.2","","","27.3",""
"Williams, Trevor","592866","42.3","8.6","","8.8","12.8","","","","27.5",""
"Hancock, Emerson","676106","26.8","38.0","0.1","11.4","20.4","","","","3.2",""
"Scherzer, Max","453286","48.5","","1.7","23.9","14.0","11.9","","","",""
"Latz, Jacob","656641","49.4","","","20.9","23.3","6.4","","","",""
"Mahle, Tyler","641816","49.5","","12.5","10.3","","","27.7","","",""
"Bido, Osvaldo","674370","38.0","14.8","6.8","29.8","10.6","","","","",""
"Spence, Mitch","687765","","9.4","45.2","26.8","1.0","17.6","","","",""
"Matthews, Zebby","805673","41.2","4.3","12.9","25.3","10.6","5.8","","","",""
"Leahy, Kyle","681517","30.2","7.5","","21.0","9.6","18.0","","","13.8",""
"Canning, Griffin","656288","35.1","","3.7","30.5","23.2","6.4","","","1.0",""
"Rutledge, Jackson","671131","18.7","32.6","13.1","26.2","","","9.4","","",""
"Evans, Logan","688138","11.0","16.9","26.6","","12.2","9.8","","","23.5",""
"Bellozo, Valente","678368","28.7","","35.0","","14.4","4.5","1.8","","15.5",""
"Bergert, Ryan","686701","42.5","6.6","","24.8","7.5","0.8","","","17.8",""
"Bivens, Spencer","702352","6.3","37.6","27.2","","15.3","","","","8.3","5.3"
"Herget, Jimmy","623474","7.5","27.8","","28.3","5.5","0.1","","","30.8",""
"Barlow, Scott","605130","21.3","14.7","","19.0","0.1","16.4","","","28.5",""
"Casparius, Ben","676508","30.3","1.3","21.9","","","14.4","","","32.2",""
"López, Pablo","641154","41.2","6.5","","","21.2","9.9","","","21.2",""
"Schlittler, Cam","693645","55.9","6.1","19.7","1.2","","14.8","","","2.3",""
"Alexander, Jason","669920","10.1","39.9","1.0","0.2","32.7","","","","16.0",""
"Gordon, Tanner","685299","52.8","","","25.6","21.1","0.4","","","",""
"Little, Brendon","663893","","46.1","7.8","","","46.0","","","",""
"Estrada, Jeremiah","669093","56.8","","","20.0","","","23.2","","",""
"Megill, Tylor","656731","42.3","19.5","","22.9","7.2","7.0","","","1.1",""
"Santillan, Tony","663574","65.0","","","13.4","0.1","","","","","21.5"
"Schmidt, Clarke","657376","7.6","8.3","40.9","12.9","","18.2","","","12.2",""
"Kinley, Tyler","641755","22.9","","","63.9","0.9","12.3","","","",""
"Bazardo, Eduard","660825","14.3","40.6","0.2","","","","2.0","","42.8",""
"King, Michael","650633","24.4","29.5","","5.7","21.4","","","","19.0",""
"Eisert, Brandon","685126","31.7","3.4","","35.7","29.3","","","","",""
"Uceta, Edwin","670955","40.6","1.6","15.9","","38.9","","","","3.0",""
"Ferrer, José A.","678606","8.8","61.8","","7.5","21.9","","","","",""
"Hicks, Jordan","663855","9.3","54.4","","7.7","","","6.0","","22.7",""
"Birdsong, Hayden","806185","44.1","","","24.4","16.8","13.0","","","","1.7"
"Abreu, Bryan","650556","50.0","1.2","","48.4","0.4","","","","",""
"Smith, Cade","671922","69.9","","","","","","21.2","","8.9",""
"Whitlock, Garrett","676477","","47.1","","30.9","20.8","","","","1.1",""
"Uribe, Abner","682842","2.1","51.8","","46.0","","","","","",""
"Misiorowski, Jacob","694819","55.2","","","24.3","5.9","14.6","","","",""
"Matz, Steven","571927","","58.4","","1.6","18.2","21.8","","","",""
"Olson, Reese","681857","19.4","27.2","","21.6","25.9","5.5","","","0.4",""
"Holton, Tyler","663947","11.3","21.8","30.2","","14.6","3.5","","","18.6",""
"Henriquez, Ronny","678692","29.6","2.2","","23.3","16.6","","","","28.3",""
"Rodríguez, Yariel","684320","40.8","6.0","","41.3","","","11.9","","",""
"Anderson, Grant","681982","33.0","25.0","","","4.1","","","","37.8",""
"Milner, Hoby","571948","14.2","33.4","","","17.4","","","","35.1",""
"Darvish, Yu","506433","16.4","20.1","11.8","13.8","0.7","16.6","10.5","","10.1",""
"McCullers Jr., Lance","621121","5.4","24.7","4.5","","17.0","16.4","","","32.0",""
"Dreyer, Jack","676263","45.1","","","46.2","","8.7","","","",""
"Sheehan, Emmet","686218","46.8","","","30.4","16.7","6.1","","","",""
"Bachar, Lake","669199","37.2","","","23.3","","","12.2","","27.4",""
"Sands, Cole","663485","26.6","9.0","23.8","0.3","","18.6","21.6","","",""
"Francis, Bowden","670102","56.0","1.8","","5.8","","14.0","22.4","","",""
"Peralta, Wandy","593974","3.3","45.5","","16.6","34.5","","","","",""
"Vest, Will","676684","52.4","16.7","","23.8","7.0","","","","",""
"Leasure, Jordan","673929","53.5","1.2","","42.5","","","2.7","","",""
"Rocker, Kumar","677958","20.2","26.0","25.4","16.0","6.1","6.3","","","",""
"Hoffman, Jeff","656546","37.4","8.9","","29.9","","","23.8","","",""
"Eflin, Zach","621107","13.2","18.2","21.7","","16.6","16.1","","","14.2",""
"Harris, Hogan","663687","56.8","","2.6","1.6","13.2","22.8","","","3.1",""
"Armstrong, Shawn","542888","28.9","23.6","24.1","","","","","","23.3","0.1"
"Suter, Brent","608718","42.2","23.1","","12.2","22.5","","","","",""
"Williams, Devin","642207","47.4","","0.2","","52.4","","","","",""
"Phillips, Tyler","663969","8.9","31.4","0.4","","","23.1","13.6","","22.5",""
"Keller, Brad","641745","42.2","14.4","","17.3","11.7","","","","14.5",""
"De Los Santos, Enyel","660853","48.9","","","35.9","15.2","","","","",""
"Doval, Camilo","666808","","12.2","39.8","48.0","","","","","",""
"Baker, Bryan","641329","47.2","","","25.0","27.9","","","","",""
"Lee, Dylan","669276","31.2","","","55.5","13.2","","","","",""
"Ashcraft, Braxton","677952","29.7","14.8","","31.2","3.3","21.1","","","",""
"Domínguez, Seranthony","622554","43.2","13.4","","","","4.9","16.6","","21.8",""
"Zerpa, Angel","672582","20.5","43.9","","31.9","3.6","","","","",""
"Gómez, Yoendrys","672782","33.5","19.3","6.8","1.4","7.6","14.4","","","17.0",""
"Manaea, Sean","640455","60.5","","","","5.6","","","","33.9",""
"Vargas, Carlos","672841","3.5","61.9","13.0","18.6","3.0","","","","",""
"Buttó, José","676130","30.6","17.3","","30.0","15.2","","","","7.0",""
"Jax, Griffin","643377","17.7","11.7","4.0","","22.3","0.2","","","44.0",""
"Wrobleski, Justin","680736","28.6","20.6","14.1","24.8","3.3","8.6","","","",""
"Sterner, Justin","686993","52.2","","32.1","","","","","","15.7",""
"Montero, Rafael","606160","40.6","4.9","","7.5","","","47.0","","",""
"Lynch IV, Daniel","663738","22.7","19.0","","29.2","19.2","9.8","","","",""
"Adam, Jason","592094","22.7","","0.3","35.1","33.4","","","","8.5",""
"Banks, Tanner","621383","21.3","12.3","","35.6","6.5","","","","24.3",""
"Detmers, Reid","672282","45.4","2.1","","31.2","0.1","21.1","","","",""
"Ragans, Cole","666142","49.5","","4.7","13.8","19.2","12.8","","","",""
"Suarez, Robert","663158","63.4","12.5","0.2","","23.9","","","","",""
"Mejia, Juan","675848","67.1","","","","0.1","","","","32.8",""
"Duran, Jhoan","661395","35.1","","","","","19.2","39.9","","5.8",""
"Kerkering, Orion","689147","33.2","18.8","","","","","","","48.0",""
"Weissert, Greg","669711","33.4","27.8","","16.2","9.7","4.0","","","8.9",""
"Pagán, Emilio","641941","61.2","","18.6","","","","20.1","","",""
"Díaz, Edwin","621242","52.6","","","47.3","0.1","","","","",""
"Varland, Louis","686973","45.3","5.4","","7.0","4.7","37.5","","","",""
"Banda, Anthony","607455","23.4","23.7","","49.2","3.8","","","","",""
"Matsui, Yuki","673513","39.5","1.5","","15.9","","0.2","32.2","","10.7",""
"Stanek, Ryne","592773","57.1","","","21.7","","","11.9","","9.2",""
"Akin, Keegan","669211","51.3","","","28.7","19.9","","","","",""
"Alcala, Jorge","660896","46.4","13.0","","15.4","1.9","23.3","","","",""
"Faucher, Calvin","676534","17.3","12.4","37.0","","0.1","15.1","","","18.1",""
"Hurter, Brant","676428","5.3","52.5","","","10.6","","","","31.6",""
"Okert, Steven","595345","41.4","","0.7","57.8","0.1","","","","",""
"Weaver, Luke","596133","59.2","","9.4","1.5","29.8","","","","",""
"Gaddis, Hunter","683769","33.1","","","53.7","13.3","","","","",""
"Schreiber, John","670167","31.6","19.4","18.7","","2.0","","","","28.3",""
"King, Bryan","687911","62.7","5.3","","","1.5","0.2","","","30.3",""
"Estévez, Carlos","608032","53.5","","","30.9","15.6","","","","",""
"Koenig, Jared","657649","1.3","56.7","17.4","","9.1","15.5","","","",""
"Ferguson, Caleb","657571","31.2","23.6","23.4","","","","","","","21.8"
"Ashcraft, Graham","668933","","","54.1","45.9","","","","","",""
"Meyer, Max","676974","22.2","13.7","","35.3","17.3","","","","11.5",""
"Muñoz, Andrés","662253","35.0","12.5","","50.4","2.1","","","","",""
"Kahnle, Tommy","592454","14.0","","","0.4","85.6","","","","",""
"Blalock, Bradley","687134","46.4","","9.9","15.5","","13.1","15.2","","",""
"Ashby, Aaron","676879","2.3","51.3","","8.1","11.8","26.4","","","",""
"Junis, Jakob","596001","8.8","26.8","","44.5","19.9","","","","",""
"Soto, Gregory","642397","7.0","52.6","","32.5","","","0.4","","7.6",""
"Zeferjahn, Ryan","666171","31.5","0.6","22.0","16.7","","","","","26.8","2.4"
"Snell, Blake","605483","43.6","","","11.1","23.6","21.7","","","",""
"Bednar, David","670280","44.0","","","","","36.2","19.7","","",""
"Vesia, Alex","681911","57.5","","","36.4","6.2","","","","",""
"Chivilli, Angel","683409","45.9","","","17.5","36.6","","","","",""
"Walker, Ryan","676254","0.2","61.9","","37.5","0.4","","","","",""
"Yarbrough, Ryan","642232","13.9","20.4","25.9","","20.6","","","","19.4",""
"Burke, Brock","656271","42.4","8.0","","27.6","22.0","","","","",""
"Brazobán, Huascar","623211","12.0","37.4","9.1","3.5","38.1","","","","",""
"Burnes, Corbin","669203","","9.6","55.0","8.9","7.2","19.2","","","",""
"Maton, Phil","664208","","12.1","36.0","","","38.2","","","13.7",""
"Santana, Dennis","642701","28.6","8.5","10.3","46.5","6.1","","","","",""
"Allard, Kolby","663465","38.9","8.6","19.3","","20.0","13.2","","","",""
"Morejon, Adrian","670970","3.2","61.8","3.3","24.6","6.6","","","0.5","",""
"Gomber, Austin","596295","34.0","0.3","4.6","15.3","16.4","24.8","4.5","","",""
"Seymour, Ian","693855","31.9","5.4","21.5","2.6","31.6","1.6","","","5.4",""
"Strahm, Matt","621381","37.6","15.3","14.5","32.0","0.6","","","","",""
"Ferguson, Tyler","621053","38.5","14.8","10.9","","4.0","","","","31.7",""
"Romero, JoJo","668941","6.0","32.2","0.1","","22.5","","","","37.9","1.3"
"Fairbanks, Pete","664126","51.1","","4.2","39.9","4.9","","","","",""
"Cano, Yennier","666974","11.5","45.8","2.8","20.2","12.5","","7.2","","",""
"Garrett, Reed","657585","4.0","24.3","28.2","","","","22.4","","21.1",""
"Helsley, Ryan","664854","45.5","","1.3","47.4","","5.8","","","",""
"Topa, Justin","623437","","35.6","20.0","","15.0","","","","29.3",""
"Rogers, Tyler","643511","","74.5","","25.5","","","","","",""
"Webb, Jacob","657097","44.5","","","","34.7","","","","20.9",""
"Wilson, Steven","621051","33.4","","1.0","","7.3","","","","58.3",""
"Garcia, Robert","676395","44.9","","","26.9","28.3","","","","",""
"Miller, Mason","695243","52.2","","","45.6","2.3","","","","",""
"Gil, Luis","661563","50.6","","","25.8","23.6","","","","",""
"Johnson, Pierce","572955","23.0","","4.9","","","72.1","","","",""
"Henry, Cole","669371","50.6","10.1","3.6","","2.8","","","","32.9",""
"Svanson, Matt","694335","1.3","47.4","16.4","","","","","","34.9",""
"Iglesias, Raisel","628452","40.1","22.3","","9.9","27.7","","","","",""
"Woodruff, Brandon","605540","30.7","31.0","15.7","","17.6","3.7","","","1.2",""
"Erceg, Lucas","668674","30.0","23.9","","29.4","16.7","","","","",""
"Bird, Jake","656234","","34.3","2.5","","","22.7","","","40.5",""
"Hanifee, Brenan","669724","12.1","62.6","","21.1","4.2","","","","",""
"Young, Brandon","687064","43.8","","9.2","8.9","4.6","15.8","17.8","","",""
"Ureña, José","570632","10.1","36.3","","25.6","24.6","","3.4","","",""
"Boyle, Joe","671212","48.5","","","35.1","","","16.3","","0.1",""
"Bummer, Aaron","607481","12.4","34.8","0.1","","","35.1","","","17.6",""
"Dobbins, Hunter","690928","40.5","1.4","","27.1","","12.0","8.7","","10.3",""
"Speier, Gabe","642100","44.7","29.5","","25.7","","","","","",""
"Vodnik, Victor","680767","55.6","0.4","5.0","12.8","26.1","","","","",""
"Chapman, Aroldis","547973","39.8","33.9","","15.2","","","11.1","","",""
"Beeks, Jalen","656222","52.4","","9.9","","37.7","","","","",""
"Scott, Tanner","656945","52.6","0.2","","47.2","","","","","",""
"Gibson, Cade","806188","9.5","23.7","","9.6","14.5","28.5","","","14.2",""
"Pérez, Martín","527048","3.5","31.0","28.3","","28.8","8.3","","","",""
"Hill, Tim","657612","13.5","82.2","4.3","","","","","","",""
"García, Luis","472610","1.9","42.1","","","","","22.3","","33.7",""
"Rogers, Taylor","573124","","49.1","","","","","","","50.9",""
"Festa, David","701581","31.5","12.7","","26.8","29.0","","","","",""
"Jobe, Jackson","695549","31.0","13.2","","30.6","16.9","7.9","","","0.5",""
"Cleavinger, Garrett","664076","12.0","37.2","1.7","38.8","","","","","10.3",""
"Jansen, Kenley","445276","","9.2","81.4","6.1","","","","","3.3",""
"Clarke, Taylor","664199","21.8","18.0","","39.8","20.3","","","","",""
"Ross, Joe","605452","35.6","28.5","","22.0","8.4","5.5","","","",""
"Waldrep, Hurston","694462","2.3","18.8","21.8","11.6","","13.1","32.4","","",""
"Legumina, Casey","668984","49.2","22.8","","","10.7","","","","17.3",""
"Fluharty, Mason","689254","","0.1","58.2","","","","","","41.7",""
"Montgomery, Mason","682254","66.2","","","33.8","","","","","",""
"Wilson, Bryse","669060","17.7","23.8","24.0","","17.8","16.7","","","",""
"Hader, Josh","623352","","54.2","","41.4","4.4","","","","",""
"Finnegan, Kyle","640448","58.3","","","4.6","","","37.1","","",""
"Mears, Nick","683232","53.5","","","42.4","","4.1","","","",""
"Palencia, Daniel","694037","71.6","0.4","","23.1","","0.4","4.6","","",""
"Trivino, Lou","642152","15.7","22.1","24.1","","16.6","1.2","","","20.2",""
"Brogdon, Connor","641401","41.9","","16.2","","41.9","","","","",""
"Gilbert, Tyler","656457","12.2","31.3","18.4","","","","7.9","","30.3",""
"Thielbar, Caleb","573204","41.8","","","14.7","","28.1","","","15.4",""
"Bernardino, Brennan","657514","0.2","44.5","12.4","4.1","12.5","26.3","","","",""
"Fisher, Braydon","680755","22.1","","3.0","38.3","","36.6","","","",""
"Leiter Jr., Mark","643410","0.5","38.6","3.0","1.9","","25.5","30.5","","",""
"Myers, Tobias","668964","45.2","","20.0","16.3","1.5","1.5","15.6","","",""
"Brash, Matt","666374","5.0","21.8","","60.6","11.9","0.7","","","",""
"Morales, Luis","806960","51.5","0.9","","7.8","13.0","","","","26.8",""
"Festa, Matt","670036","39.5","8.1","14.2","","","","","","38.2",""
"Beck, Tristan","663941","33.0","","","21.3","","17.3","","","28.4",""
"Wilson, Justin","458677","46.8","","14.8","33.3","","","5.0","","",""
"Walter, Brandon","687888","19.3","12.5","27.4","","18.3","","","","22.5",""
